Ecol_Site,Treatment,Site,Plot,Indicator,1stHitAvg,AnyHitAvg
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Forb/herb (Perennial),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Graminoid (All),0.547,0.673
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Graminoid (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Graminoid (Perennial),0.547,0.673
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Litter,0,0.353
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Perennial,0.733,0.733
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Shrub (All),0.16,0.227
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Shrub (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Sub-Shrub (All),0.027,0.047
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Succulent (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Succulent (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Total Foliar,0.733,0.733
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Total Litter,0,0.373
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Tree (All),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Tree (Invasive),0,0
R036XB006NM,Tebuthiuron,RGdNNM Treatment 2016,Circa Cerro Montoso 04,Woody Litter,0,0.04
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Annual,0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Bare Soil,0,0.131
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Forb/herb (All),0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Forb/herb (Invasive),0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Forb/herb (Perennial),0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Graminoid (All),0.5,0.531
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Graminoid (Invasive),0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Graminoid (Perennial),0.5,0.531
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Litter,0,0.181
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Perennial,0.556,0.563
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Shrub (All),0.031,0.031
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Shrub (Invasive),0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Sub-Shrub (All),0.05,0.05
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Succulent (All),0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Succulent (Invasive),0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Total Foliar,0.588,0.588
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Total Litter,0,0.306
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Tree (All),0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Tree (Invasive),0,0
R036XB018NM,Brush Hog,RGdNNM Treatment 2014,Eliu - 01,Woody Litter,0,0.15
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Annual,0.06,0.067
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Bare Soil,0,0.26
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Forb/herb (All),0.06,0.067
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Forb/herb (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Forb/herb (Perennial),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Graminoid (All),0.513,0.533
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Graminoid (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Graminoid (Perennial),0.513,0.533
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Litter,0,0.32
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Perennial,0.533,0.547
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Shrub (All),0.013,0.013
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Shrub (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Sub-Shrub (All),0.007,0.007
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Succulent (All),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Succulent (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Total Foliar,0.593,0.593
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Total Litter,0,0.387
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Tree (All),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Tree (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (East) 02,Woody Litter,0,0.08
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Annual,0.007,0.013
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Bare Soil,0,0.36
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Forb/herb (All),0.007,0.013
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Forb/herb (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Forb/herb (Perennial),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Graminoid (All),0.307,0.32
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Graminoid (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Graminoid (Perennial),0.307,0.32
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Litter,0,0.293
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Perennial,0.44,0.44
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Shrub (All),0.12,0.127
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Shrub (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Sub-Shrub (All),0.007,0.007
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Succulent (All),0.007,0.007
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Succulent (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Total Foliar,0.447,0.447
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Total Litter,0,0.393
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Tree (All),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Tree (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (Mid) 02,Woody Litter,0,0.1
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Annual,0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Bare Soil,0,0.387
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Forb/herb (All),0.013,0.013
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Forb/herb (Invasive),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Forb/herb (Perennial),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Graminoid (All),0.393,0.413
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Graminoid (Invasive),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Graminoid (Perennial),0.393,0.413
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Litter,0,0.24
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Perennial,0.487,0.487
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Shrub (All),0.087,0.107
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Shrub (Invasive),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Sub-Shrub (All),0.007,0.007
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Succulent (All),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Succulent (Invasive),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Total Foliar,0.5,0.5
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Total Litter,0,0.3
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Tree (All),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Tree (Invasive),0,0
 UNKNOWN,Disc & Seed,RGdNNM Treatment 2015,Guadalupe (North) 02,Woody Litter,0,0.06
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Annual,0.04,0.04
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Bare Soil,0,0.36
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Forb/herb (All),0.04,0.04
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Forb/herb (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Forb/herb (Perennial),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Graminoid (All),0.373,0.373
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Graminoid (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Graminoid (Perennial),0.373,0.373
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Litter,0,0.213
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Perennial,0.387,0.387
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Shrub (All),0.007,0.007
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Shrub (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Sub-Shrub (All),0.007,0.007
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Succulent (All),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Succulent (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Total Foliar,0.427,0.427
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Total Litter,0,0.393
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Tree (All),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Tree (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2015,Guadalupe (South) 02,Woody Litter,0,0.2
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Annual,0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Bare Soil,0,0.42
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Forb/herb (All),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Forb/herb (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Forb/herb (Perennial),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Graminoid (All),0.087,0.1
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Graminoid (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Graminoid (Perennial),0.087,0.1
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Litter,0,0.28
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Perennial,0.253,0.26
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Shrub (All),0.113,0.12
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Shrub (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Sub-Shrub (All),0.02,0.027
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Succulent (All),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Succulent (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Total Foliar,0.293,0.293
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Total Litter,0,0.36
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Tree (All),0.073,0.073
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Tree (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2014,Guadalupe Bowl - 01,Woody Litter,0,0.153
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Annual,0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Bare Soil,0,0.133
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Forb/herb (All),0.013,0.013
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Forb/herb (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Forb/herb (Perennial),0.013,0.013
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Graminoid (All),0.047,0.053
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Graminoid (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Graminoid (Perennial),0.047,0.053
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Litter,0,0.473
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Perennial,0.467,0.467
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Shrub (All),0.067,0.073
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Shrub (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Sub-Shrub (All),0.013,0.013
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Succulent (All),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Succulent (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Total Foliar,0.467,0.467
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Total Litter,0,0.54
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Tree (All),0.313,0.313
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Tree (Invasive),0,0
R048AY005NM,Thin & Burn,RGdNNM Treatment 2015,Guadalupe Bowl 02,Woody Litter,0,0.153
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Annual,0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Bare Soil,0,0.127
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Forb/herb (All),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Forb/herb (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Forb/herb (Perennial),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Graminoid (All),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Graminoid (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Graminoid (Perennial),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Litter,0,0.587
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Perennial,0.46,0.46
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Shrub (All),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Shrub (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Sub-Shrub (All),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Succulent (All),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Succulent (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Total Foliar,0.46,0.46
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Total Litter,0,0.64
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Tree (All),0.46,0.46
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Tree (Invasive),0,0
R036XB006NM,Thin & Burn,RGdNNM Treatment 2016,Guadalupe Bowl 03,Woody Litter,0,0.133
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Annual,0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Bare Soil,0,0.28
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Forb/herb (All),0.027,0.027
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Forb/herb (Invasive),0.013,0.013
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Forb/herb (Perennial),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Graminoid (All),0.227,0.233
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Graminoid (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Graminoid (Perennial),0.227,0.233
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Litter,0,0.413
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Perennial,0.267,0.273
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Shrub (All),0.02,0.027
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Shrub (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Sub-Shrub (All),0.02,0.02
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Succulent (All),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Succulent (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Total Foliar,0.3,0.3
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Total Litter,0,0.593
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Tree (All),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Tree (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe East - 01,Woody Litter,0,0.2
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Annual,0.087,0.1
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Bare Soil,0,0.22
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Forb/herb (All),0.113,0.127
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Forb/herb (Invasive),0.087,0.1
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Forb/herb (Perennial),0,0
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Graminoid (All),0.153,0.16
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Graminoid (Invasive),0,0
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Graminoid (Perennial),0.153,0.16
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Litter,0,0.533
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Perennial,0.173,0.173
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Shrub (All),0.013,0.013
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Shrub (Invasive),0,0
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Sub-Shrub (All),0.007,0.007
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Succulent (All),0,0
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Succulent (Invasive),0,0
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Total Foliar,0.287,0.287
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Total Litter,0,0.66
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Tree (All),0,0
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Tree (Invasive),0,0
F036XA001NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2016,Guadalupe East 03,Woody Litter,0,0.133
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Annual,0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Bare Soil,0,0.34
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Forb/herb (All),0.007,0.007
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Forb/herb (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Forb/herb (Perennial),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Graminoid (All),0.127,0.14
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Graminoid (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Graminoid (Perennial),0.127,0.14
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Litter,0,0.307
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Perennial,0.347,0.347
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Shrub (All),0.113,0.127
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Shrub (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Sub-Shrub (All),0.107,0.107
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Succulent (All),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Succulent (Invasive),0,0
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Total Foliar,0.353,0.353
R036XB006NM,Disc & Seed & Brush Hog,RGdNNM Treatment 2014,Guadalupe Mid - 01,Total Litter,0,0.48
